Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,Sp,1,0.429,ppn11,0.0686767438,0.7745086526,0.0164942318,0.0170765929
1,Sp,1,0.222,ppn11,0.0665604372,0.7707123032,0.0170423045,0.0180831996
1,Sp,0,0.478,ppn11,0.1135520945,0.8918206182,0.0069813579,0.0001786359
1,Sp,1,0.558,ppn11,0.1320797448,0.7955398398,0.0042284938,0.0120223004
1,Sp,0,0.414,ppn11,0.1069818,0.8441271095,0.0081224823,0.0037281992
1,Sp,1,0.579,ppn11,0.0936225928,0.8982120062,0.0107089428,4.86378606577E-05
1,Sp,1,0.605,ppn11,0.0790023828,0.7417249678,0.0139486096,0.0267195388
1,Sp,1,0.566,ppn11,0.1225795445,0.8648701576,0.0055542842,0.0016253745
1,Sp,1,0.412,ppn11,0.120494944,0.9006171393,0.0058693481,2.08753208555E-05
1,Sp,1,0.497,ppn11,0.0790034979,0.7403148094,0.0139483462,0.0271825395
1,Sp,1,0.533,ppn11,0.115646307,0.8635881344,0.0066357818,0.00173039
1,Sp,1,0.539,ppn11,0.1157423374,1.0561171448,0.0066201457,0.022780183
1,Sp,1,0.535,ppn11,0.0895103379,0.9208023587,0.0115769588,0.0002438678
1,Sp,1,0.583,ppn11,0.1269023516,0.7299503952,0.0049286386,0.0307075491
1,Sp,1,0.359,ppn11,0.0957806506,0.7171643175,0.010266951,0.0353521874
1,Sp,1,0.453,ppn11,0.1240254429,0.7988178494,0.0053408577,0.0113142028
1,Sp,1,0.39,ppn11,0.1276250063,0.8856209489,0.0048276939,0.0003827948
1,Sp,1,0.488,ppn11,0.0765477865,0.9470746208,0.0145344311,0.0017546489
1,Sp,1,0.389,ppn11,0.0923788793,0.9202453668,0.0109678986,0.0002267818
1,Sp,1,0.384,ppn11,0.085892548,0.8993645157,0.0123685687,3.38907405263E-05
1,Sp,1,0.443,ppn11,0.0552625388,0.7241789249,0.0201197419,0.0327635942
1,Sp,0,0.421,ppn11,0.0918614353,0.8099833649,0.0110765478,0.0090635591
1,Sp,1,0.52,ppn11,0.1025319131,0.9175928627,0.0089443742,0.000153928
1,Sp,1,0.446,ppn11,0.1215125562,1.0042388968,0.0057144617,0.0098114583
1,Sp,1,0.446,ppn11,0.1028543444,0.8259569705,0.0088834905,0.0062772536
1,Sp,1,0.341,ppn11,0.1272939589,0.9284698709,0.0048738069,0.0005421344
1,Sp,1,0.667,ppn11,0.1228549599,0.9877585169,0.0055133083,0.0068182055
1,Sp,1,0.368,ppn11,0.0757041118,0.806044314,0.0147385678,0.009829092
1,Sp,1,0.638,ppn11,0.0813482524,0.8376527396,0.0133999985,0.0045607536
1,Sp,1,0.283,ppn11,0.1218038042,0.9461707211,0.0056705133,0.0016797399
1,Sp,1,0.465,ppn11,0.1341909747,1.0256570141,0.0039583778,0.0145132433
1,Sp,1,0.323,ppn11,0.0770740107,0.9472411733,0.0144078261,0.0017686299
1,Sp,1,0.393,ppn11,0.1235412589,0.9380744342,0.0054118616,0.0010816431
1,Sp,1,0.343,ppn11,0.1191376404,0.9302735466,0.006079161,0.0006293804
1,Sp,1,0.404,ppn11,0.0845221268,0.8477559668,0.012675267,0.0032982192
1,Sp,1,0.419,ppn11,0.1350064436,0.8386002017,0.0038564313,0.0044336807
1,Sp,1,0.519,ppn11,0.123419597,1.05043133,0.0054297766,0.0210961794
1,Sp,0,0.276,ppn11,0.1183371184,0.8483558565,0.0062046336,0.0032296756
1,Sp,1,0.27,ppn11,0.1358811814,0.8854424331,0.0037485537,0.000389812
1,Sp,1,0.401,ppn11,0.1229009751,1.0213549423,0.005506477,0.013495202
1,Sp,1,0.433,ppn11,0.0987252331,0.7043121591,0.0096788963,0.0403503366
1,Sp,0,1.205,ppn11,0.0985685226,0.698995351,0.0097097556,0.0425146213
1,Sp,0,0.348,ppn11,0.0382923042,0.8292937703,0.0252219853,0.0057596444
1,Sp,1,0.435,ppn11,0.080594995,0.7820373374,0.0135749576,0.0151656155
1,Sp,1,0.443,ppn11,0.1215268036,1.0506937073,0.0057123079,0.0211724664
2,Sp,0,0.324,ppn11,0.1774345978,0.9215673564,0.0003869883,0.0002683459
2,Sp,0,0.285,ppn11,0.1963559394,0.7593750201,5.63513708774E-07,0.0212608684
