,dier,Sc,lmh,SpAc,stimulus,stimulus_recoded_01,resp,correct,rt,subj_idx,CE,SC,CE_c,SC_c,CE_squared,SC_squared
70,nD,1,low,Sp,2,0,0,1,0.344,ppn11,0.1146927189,0.8698252509,-0.082413896,-0.0353608402,0.0067920503,0.001250389
71,nD,1,low,Sp,2,0,0,1,0.283,ppn11,0.1227386321,0.9598363366,-0.0743679828,0.0546502455,0.0055305969,0.0029866493
72,D,1,low,Sp,1,1,0,0,0.293,ppn11,0.048094796,0.9659900384,-0.1490118189,0.0608039473,0.0222045222,0.00369712
73,D,1,low,Sp,1,1,1,1,0.411,ppn11,0.0563182507,0.7644360825,-0.1407883642,-0.1407500086,0.0198213635,0.0198105649
74,D,1,low,Sp,1,1,0,0,0.302,ppn11,0.0883879702,0.7144650168,-0.1087186447,-0.1907210743,0.0118197437,0.0363745282
75,D,1,low,Sp,1,1,1,1,0.4,ppn11,0.1007640727,0.7516251613,-0.0963425422,-0.1535609298,0.0092818854,0.0235809592
76,D,1,low,Sp,1,1,1,1,0.368,ppn11,0.0766186864,0.759946565,-0.1204879285,-0.1452395261,0.0145173409,0.02109452
77,D,1,low,Sp,1,1,1,1,0.315,ppn11,0.0667567732,0.7177396945,-0.1303498417,-0.1874463966,0.0169910812,0.0351361516
78,nD,1,low,Sp,2,0,0,1,0.47,ppn11,0.1047910422,1.0004567543,-0.0923155727,0.0952706632,0.008522165,0.0090764993
79,D,1,low,Sp,1,1,1,1,0.304,ppn11,0.0801950975,0.8423134242,-0.1169115174,-0.0628726669,0.0136683029,0.0039529722
80,nD,1,low,Sp,2,0,0,1,0.557,ppn11,0.1133018945,0.9182211684,-0.0838047204,0.0130350773,0.0070232312,0.0001699132
81,D,1,low,Sp,1,1,1,1,0.307,ppn11,0.1163532461,1.0500654816,-0.0807533688,0.1448793905,0.0065211066,0.0209900378
82,nD,1,low,Sp,2,0,1,0,0.356,ppn11,0.0521176045,0.8481306752,-0.1449890104,-0.0570554159,0.0210218131,0.0032553205
83,D,1,low,Sp,1,1,0,0,0.498,ppn11,0.1063798679,1.0535534408,-0.090726747,0.1483673497,0.0082313426,0.0220128704
84,D,1,low,Sp,1,1,0,0,0.309,ppn11,0.1211933369,0.9273392142,-0.075913278,0.0221531231,0.0057628258,0.0004907609
85,D,1,low,Sp,1,1,1,1,0.358,ppn11,0.0534999941,0.7423668768,-0.1436066208,-0.1628192143,0.0206228615,0.0265100966
86,D,1,low,Sp,1,1,1,1,0.399,ppn11,0.1253000331,0.8257140303,-0.0718065818,-0.0794720608,0.0051561852,0.0063158085
87,nD,1,low,Sp,2,0,0,1,0.594,ppn11,0.0703709162,0.780732195,-0.1267356987,-0.1244538961,0.0160619373,0.0154887723
