Sc,lmh,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,low,Sp,1,0.448,ppn10,0.2487264731,0.4797315139,0.0365779208,0.1975740186
1,low,Sp,1,0.631,ppn10,0.2095191156,0.6564926442,0.0531122303,0.071680349
1,low,Sp,1,0.443,ppn10,0.2248350998,0.5462969542,0.0462873384,0.1428292332
1,low,Sp,1,0.357,ppn10,0.1802686012,0.6822622532,0.0674500232,0.058545731
1,low,Sp,1,0.319,ppn10,0.139476029,0.5205847486,0.0903026511,0.1629250525
1,low,Sp,1,0.392,ppn10,0.1457634631,0.5030802378,0.0865633848,0.1773624933
1,low,Sp,1,0.337,ppn10,0.0778452183,0.4858615543,0.1311416176,0.192162076
1,low,Sp,1,0.325,ppn10,0.2404431483,0.6692451408,0.0398149648,0.0650144759
1,low,Sp,1,0.344,ppn10,0.1472024753,0.7177396945,0.0857186931,0.0426359767
1,low,Sp,1,0.57,ppn10,0.0719349962,0.5571758044,0.1354571425,0.1347247482
1,low,Sp,1,0.41,ppn10,0.1458406939,0.6012887098,0.0865179456,0.1042875274
1,low,Sp,1,0.47,ppn10,0.2356935665,0.7034168718,0.0417329567,0.0487560106
1,low,Sp,1,0.284,ppn10,0.0325693956,0.6340996711,0.1659834202,0.0841724189
1,low,Sp,0,0.418,ppn10,0.2111885606,0.7181110468,0.0523455338,0.0424827574
1,low,Sp,1,0.276,ppn10,0.2664570171,0.5867923225,0.0301102339,0.1138604774
1,low,Sp,1,0.421,ppn10,0.1965108787,0.6279456608,0.0592772247,0.0877811532
1,low,Sp,1,0.256,ppn10,0.1745844249,0.5233789035,0.0704348241,0.1606771958
1,low,Sp,1,0.318,ppn10,0.1685249904,0.5092495529,0.0736878353,0.1722042104
1,low,Sp,1,0.322,ppn10,0.1819632183,0.6387744552,0.0665726721,0.0814817306
1,low,Sp,1,0.443,ppn10,0.2028920253,0.6459588318,0.0562107192,0.0774317845
1,low,Sp,1,0.483,ppn10,0.148075965,0.6868509735,0.0852079797,0.0563461932
1,low,Sp,1,0.382,ppn10,0.2196716403,0.6712879865,0.048535784,0.0639768821
1,low,Sp,1,0.459,ppn10,0.2479067993,0.635428345,0.0368921237,0.0834032217
1,low,Sp,1,0.33,ppn10,0.1038775281,0.5432059201,0.1129648878,0.1451751616
1,low,Sp,1,0.402,ppn10,0.2589531812,0.5694961097,0.0327707178,0.125832234
1,low,Sp,1,0.397,ppn10,0.1796813466,0.5882052887,0.0677554015,0.1129089133
1,low,Sp,1,0.425,ppn10,0.2064143085,0.6429871617,0.0545529435,0.0790944429
1,low,Sp,1,0.352,ppn10,0.0680034596,0.7072392176,0.1383665645,0.0470826147
1,low,Sp,1,0.429,ppn10,0.2432912542,0.6472440521,0.0386864722,0.076718171
1,low,Sp,1,0.428,ppn10,0.1676705249,0.4650937711,0.0741524633,0.2108010303
1,low,Sp,1,0.334,ppn10,0.1859616556,0.5828068996,0.0645253315,0.1165659809
1,low,Sp,0,0.349,ppn10,0.22481314,0.7216427857,0.046296788,0.0410393528
